hayal kırıklığı
umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep gündüz

sevmek bir güzel bahar

hayat bir kısa dal

seni yaşarım her an hep

umutla bakarım hep sana

gözlerinle yaşarım hep seni

kalbimle severim hep seni

sonsuz masallarım var hep

biraz hüzünle kaybolur hep

aşkı hissederim hep senle

geceyi kucaklarım hep sana

gündüzü beklerim azıcık hep

seni özlerim her zaman hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep bana

denize gidersin hep sessiz

ay ile susarsın hep gece

güneşle uyanırsın hep gündüz

sevmek bir tatlı yol

hayat bir güzel son

seni bulurum her dakika hep

umutla başlarım hep sana

gözlerinle biterim hep sessiz

kalbimle yaşarım hep seni

sonsuz hayallerim var hep

biraz sevgiyle kaybolur hep

aşkı yaşatırım hep senle

geceyi dinlerim hep sana

gündüzü severim azıcık hep

seni düşlerim her an hep

kalbim titrer hep seninle

gözlerim arar hep seni

rüzgarla dans ederim hep sana

denize sorarım hep aşkı

ay ile dinlerim hep seni

güneşle gülerim hep sana

sevmek bir sonsuz rüya

hayat bir kısa gerçek

seni severim her zaman hep

umutla doluyum hep senle

gözlerinle yaşarım hep seni

kalbimle uyanırım hep sessiz

sonsuz sevgilerim var hep

biraz hüzünle başlar hep

aşkı saklarım hep senle

geceyi severim hep sana

gündüzü ararım azıcık hep

seni özlerim her nefeste hep

kalbim yanar hep seninle

gözlerim dalar hep sana

rüzgarla gelirsin hep sessiz

denize gidersin hep benimle

ay ile parlarsın hep gece

güneşle solarsın hep gündüz

sevmek bir tatlı dua

hayat bir güzel umut

seni bulurum her zaman hep

umutla bakarım hep sana

gözlerinle gülerim hep seni

kalbimle ağlarım azıcık hep

sonsuz rüyalarım var hep senle

biraz sevgiyle dolarım hep

aşkı korurum hep senle

geceyi yaşarım hep sana

gündüzü beklerim azıcık hep

seni ararım her an hep

kalbim çarpar hep seninle

gözlerim bulur hep seni

rüzgarla uçarım hep sana

denize varırım hep senle

ay ile başlarım hep gece

güneşle biterim hep
